box #,latfloor,latceiling,depthceiling,depthfloor,dCo_mean_obs,O2_mean_obs,PO4_mean_obs,dCo_mean_model,O2_mean_model,PO4_mean_model
329,-11,-10,300,500,40.70497102666667,96.16666666666667,1.906666666666667,34.6367470423381,151.153055826823,1.5667828818162302
330,-11,-10,500,700,40.35010633,100.5,2.37,38.8417612711589,141.361307779948,2.0136257012685097
331,-11,-10,700,1000,38.54648655,104.8,2.55,41.0170656840006,129.713010152181,2.36225650707881
332,-11,-10,1000,1250,39.563615209999995,112.7,2.625,42.11294746398929,122.16840998331699,2.59341951211294
333,-11,-10,1250,1500,38.23239454,121.2,2.6,42.4354467391968,123.416252772013,2.68977795044581
334,-11,-10,1500,2000,38.043036185000005,131.85000000000002,2.575,42.3728965123494,135.467426300049,2.6904931465784703
335,-11,-10,2000,2500,25.205505940000005,142.6,2.5833333333333335,42.357312202453606,154.413912455241,2.6493652065595
336,-11,-10,2500,3000,24.753043475,148.85,2.565,42.855382601420104,174.635599772135,2.58000441392263
337,-11,-10,3000,3500,23.216430266666663,157.13333333333333,2.4866666666666664,44.4366617202759,197.02907053629602,2.5007837216059396
338,-11,-10,3500,4000,25.90833622,166.1,2.36,46.317384719848604,210.754440307617,2.45795049269994
339,-11,-10,4000,4500,23.49150097,174.3,2.33,48.5162649154663,221.560077667236,2.4296381672223397
340,-11,-10,4500,5000,23.920580356666665,190.26666666666665,2.243333333333333,49.535336812337206,225.558882395426,2.42097999652227
341,-11,-10,5000,5500,21.767445055,193.3,2.23,,,
342,-10,-9,0,10,,,,3.0281077623367296,198.24107742309602,0.16359962026278196
343,-10,-9,10,20,,,,3.0281077623367296,198.24107742309602,0.16359962150454502
344,-10,-9,20,30,,,,3.0281077623367296,198.24107869466098,0.16359962522983598
345,-10,-9,30,40,,,,3.02725146214167,198.2733446757,0.163632263739904
346,-10,-9,40,50,,,,3.01346451044083,198.508689880371,0.163936052471399
347,-10,-9,50,60,,,,2.9637959400812797,199.5624071757,0.165615589668353
