long_index,lat_index,depth_index,dCo,O2,PO4
183,146,1,61.7880694071452,306.826362609863,0.42198778813084
183,145,1,47.2780013084412,304.856211344401,0.513611863056819
184,145,1,47.2780013084412,304.856211344401,0.513611863056819
184,144,1,37.5542844136556,303.384488423665,0.613916729887327
185,144,1,30.9710348447164,303.137382507324,0.650141753256321
186,143,1,30.9710348447164,303.137382507324,0.650141753256321
187,142,1,27.3968844413757,300.719950358073,0.727766061822573
188,142,1,27.3968844413757,300.719950358073,0.727766061822573
188,141,1,27.0388145446777,299.233896891276,0.729462459683418
188,140,1,27.0388145446777,299.233896891276,0.729462459683418
188,139,1,23.7791527112325,295.51922861735,0.670697366197904
188,138,1,21.7410278320313,291.705960591634,0.616852069894473
188,137,1,19.788675626119,287.088864644368,0.562906682491302
188,136,1,19.788675626119,287.088864644368,0.562906682491302
188,135,1,18.1631902058919,282.040908813477,0.506188740332921
188,134,1,16.7807315190633,276.502352396647,0.440078921616077
188,133,1,16.7807315190633,276.502352396647,0.440078921616077
188,132,1,15.5127992630005,270.489091237386,0.361218346903722
188,131,1,14.1944832801819,264.14309946696,0.267596834649642
188,130,1,14.1944832801819,264.14309946696,0.267596834649642
188,129,1,12.8029607137044,257.674942016602,0.171814845254024
188,128,1,11.5727477073669,251.013322194417,0.0999726445103685
188,127,1,11.5727477073669,251.013322194417,0.0999726445103685
188,126,1,10.5171740055084,244.600387573242,0.0507610556669533
188,125,1,9.50335343678792,238.482299804688,0.0250902809202671
188,124,1,9.50335343678792,238.482299804688,0.0250902809202671
188,123,1,8.47822141647339,232.666627248128,0.016616830136627
188,122,1,8.47822141647339,232.666627248128,0.016616830136627
188,121,1,7.20532377560933,227.472571055094,0.0143328775496533
188,120,1,5.71342142422994,222.814534505208,0.0170308396530648
188,119,1,5.71342142422994,222.814534505208,0.0170308396530648
188,118,1,4.42827745278676,219.130147298177,0.0255217449739575
188,117,1,4.42827745278676,219.130147298177,0.0255217449739575
188,116,1,3.65336020787557,216.268826802572,0.0412114917611082
188,115,1,3.65336020787557,216.268826802572,0.0412114917611082
188,114,1,3.35121200482051,214.568740844727,0.0637835934758186
188,113,1,3.35121200482051,214.568740844727,0.0637835934758186
188,112,1,3.27501394351323,213.331354777018,0.0925223759065072
187,111,1,3.29055726528168,213.017094930013,0.124048952013254
186,110,1,3.29055726528168,213.017094930013,0.124048952013254
185,109,1,3.37527656555176,211.71971766154,0.130990481625001
