,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],dCo [pM],LdCo [pM],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],CTDXMISS,CTDSAL,Density,CTDOXY [uM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM]
615,GP15,35,-10.5,-152.00006,15325,43419,225,18.36870132,0,223.8,19.7176,152.9,0.001,35.7215,1.37,0.74,8.17,0,4.708,35.7215,1.026366206,156.9313928,1.406121702,0.759510992,8.3854119,0
616,GP15,35,-10.5,-152.00006,15322,43419,300,43.53074386,,299.9,13.7211,104,0.001,34.9484,9.28,1.56,18.92,0,4.71,34.9484,1.027543231,106.864496,9.535601183,1.60296744,19.44111793,0
617,GP15,35,-10.5,-152.00006,15458,43421,350,34.13261477,0,350.1,11.3545,84,0.001,34.74,15.54,1.97,25.02,0,4.712,34.74,1.028082666,86.35894396,15.97640463,2.025322852,25.72262831,0
618,GP15,35,-10.5,-152.00006,15455,43421,450,44.45155445,,451.5,8.1744,100.5,0.001,34.6047,27.37,2.19,31.78,0,4.713,34.6047,1.028991857,103.4136816,28.16350713,2.253492167,32.70136122,0
619,GP15,35,-10.5,-152.00006,15452,43421,550,40.35010633,0,550.7,7.0867,100.5,0.001,34.5581,35.38,2.37,34.46,0,4.714,34.5581,1.029574479,103.4722351,36.42634507,2.440091515,35.47913655,0
620,GP15,35,-10.5,-152.00006,15449,43421,800,38.54648655,,804.2,5.4327,104.8,0.001,34.5158,53.47,2.55,36.96,0,4.718,34.5158,1.030933874,108.04187,55.12403425,2.628881379,38.10331599,0
621,GP15,35,-10.5,-152.00006,15446,43421,1000,43.63529559,0,1005.3,4.4908,109.9,0.001,34.5289,70.37,2.63,37.76,0,4.718,34.5289,1.031988425,113.4155279,72.62102543,2.714129556,38.96788291,0
622,GP15,35,-10.5,-152.00006,15443,43421,1200,35.49193483,,1209.4,3.8318,115.5,0.001,34.5486,83.57,2.62,37.68,0,4.719,34.5486,1.03302048,119.3138655,86.32952155,2.706513659,38.9242117,0
623,GP15,35,-10.5,-152.00006,15440,43421,1400,38.23239454,,1409.8,3.2413,121.2,0.001,34.5749,97.05,2.6,37.58,0,4.72,34.5749,1.034029611,125.3243888,100.3525737,2.688476988,38.85883277,0
624,GP15,35,-10.5,-152.00006,15437,43421,1600,27.14681781,,1612.2,2.8243,127.4,0.001,34.5973,106.34,2.58,37.21,0,4.723,34.5973,1.035020172,131.8615699,110.0640451,2.670352044,38.5131006,0
625,GP15,35,-10.5,-152.00006,15434,43421,1800,48.93925456,,1815.8,2.3515,136.3,0.001,34.6258,115.81,2.57,36.37,0,4.719,34.6258,1.036026396,141.2103978,119.9822169,2.662587838,37.68028003,0
626,GP15,35,-10.5,-152.00006,15431,43421,2000,27.4875347,0,2018.3,2.1205,140.4,0.001,34.6429,120.79,2.58,36.14,0,4.72,34.6429,1.036985079,145.5927051,125.2574277,2.675421504,37.47664075,0
627,GP15,35,-10.5,-152.00006,15428,43421,2200,19.81379297,,2221.5,1.9717,143.4,0.001,34.6552,125.29,2.58,36.03,0,4.72,34.6552,1.037929616,148.8391069,130.0422016,2.677858409,37.39660406,0
628,GP15,35,-10.5,-152.00006,15425,43421,2400,28.31519015,,2425.8,1.8725,144,0.001,34.6648,129.88,2.59,36.08,0,4.721,34.6648,1.038867233,149.5968816,134.9280763,2.690666134,37.48232978,0
629,GP15,35,-10.5,-152.00006,15422,43421,2600,24.00717217,,2628.4,1.8008,147.2,0.001,34.6709,132.03,2.58,35.94,0,4.722,34.6709,1.03978735,153.0566979,137.2831238,2.682651363,37.36995736,0
630,GP15,35,-10.5,-152.00006,15419,43421,2800,25.49891478,,2833.4,1.7311,150.5,0.001,34.6757,132.52,2.55,35.59,0,4.722,34.6757,1.040713434,156.6273718,137.9153443,2.653819257,37.03899111,0
631,GP15,35,-10.5,-152.00006,15416,43421,3000,22.43266349,0,3036.3,1.6686,153.4,0.001,34.6799,133.79,2.54,35.52,0,4.722,34.6799,1.041625213,159.7853077,139.3590373,2.645728042,36.99852758,0
632,GP15,35,-10.5,-152.00006,15376,43420,3200,25.82997297,,3240.5,1.6191,156.9,0.001,34.6832,133.27,2.39,35.55,0,4.72,34.6832,1.042536548,163.5739844,138.9388458,2.49166235,37.06217429,0
633,GP15,35,-10.5,-152.00006,15413,43421,3400,21.38665434,,3445.4,1.5772,161.1,0.001,34.6852,132.32,2.53,35.01,0,4.724,34.6852,1.043445193,168.0990206,138.0686679,2.639916338,36.5310162,0
634,GP15,35,-10.5,-152.00006,15373,43420,3600,25.90833622,,3649.8,1.5327,166.1,0.001,34.6883,130.83,2.36,35.09,0,4.721,34.6883,1.044349352,173.4664274,136.6322257,2.464664471,36.64621877,0
635,GP15,35,-10.5,-152.00006,15370,43420,4000,23.49150097,0,4058.2,1.4279,174.3,0.001,34.6945,128.97,2.33,34.51,0,4.722,34.6945,1.046148185,182.3436287,134.9217314,2.437525271,36.10257387,0
