,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],Stn-depth,dCo [pM],LdCo [pM],dZn [nmol/kg],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,CTDXMISS,CTDSAL,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],Density,dZn [nM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM],Sigma0 [kg/m3]
10,GP15,2.0,55.59477,-156.3461,12466,43369,100,2-100,180.2917821,,2.8888946030000002,101.9,5.9972,219.0,,,33.0388,33.0315,31.96,1.68,23.11,0.06,1.026480010311381,2.965392561875933,32.806301129551734,1.7244864173231198,23.72195303829601,0.061588800618682854,26.010543755719254
11,GP15,2.0,55.59477,-156.3461,12464,43369,150,2-150,131.54692240000003,,4.358504451,152.1,5.8147,138.9,,,33.5802,33.5737,50.5,2.16,31.33,0.02,1.0271645914208032,4.476901443617167,51.87181186675056,2.218675517468935,32.18106664921376,0.020543291828416063,26.464084651184294
12,GP15,2.0,55.59477,-156.3461,12462,43369,190,2-190,192.38460600000002,,5.987086766,193.1,5.3124,106.6,,,33.7417,33.7343,63.39,2.44,35.08,0.03,1.0275448765001172,6.152000331564956,65.13606972134242,2.507209498660286,36.046274267624106,0.030826346295003512,26.6536840289466
13,GP15,2.0,55.59477,-156.3461,12460,43369,225,2-225,170.6699358,,6.97024858,227.6,5.3022,105.6,,,33.7471,33.7444,64.07,2.48,35.14,0.04,1.0277105486357072,7.163397992279059,65.84541485108976,2.548722160616554,36.11374867905875,0.04110842194542829,26.66044731157922
14,GP15,2.0,55.59477,-156.3461,12458,43369,250,2-250,135.77077250000002,,5.993665877000001,252.3,5.3038,105.7,,,33.7474,33.7452,64.27,2.47,35.2,0.03,1.0278250096989228,6.160439688159628,66.05831337334976,2.5387277739563396,36.179440341402085,0.03083475029096768,26.661252356479054
15,GP15,3.0,55.080009999999994,-155.72,12556,43371,2,3-2,27.69009707,,0.708968688,2.0,13.2891,278.3,0.055,4.434,32.2925,32.368,7.24,0.66,4.82,0.09,1.0242542667555425,0.7261642036800791,7.415600891310128,0.6760078160586581,4.936905565761715,0.09218288400799883,24.245188308048228
16,GP15,3.0,55.080009999999994,-155.72,12509,43370,35,3-35,98.25331998,,0.608053107,30.9,10.2762,308.4,0.017,4.585,32.5278,32.5801,16.82,1.11,10.93,0.19,1.0251212181314002,0.6233281417364227,17.242538888970152,1.1378845521258543,11.204574914176204,0.19477303144496605,24.98170931333243
17,GP15,3.0,55.080009999999994,-155.72,12507,43370,60,3-60,94.98202592,,2.13343029,58.8,5.4192,324.0,0.006,4.644,32.7688,32.7723,28.54,1.55,18.71,0.45,1.026136135353362,2.1891899128264027,29.28592530298495,1.590511009797711,19.199007092461404,0.4617612609090129,25.864201626572367
18,GP15,3.0,55.080009999999994,-155.72,12505,43370,100,3-100,99.52025755,,4.419824645,98.1,4.284,241.7,0.002,4.672,33.1744,33.2009,47.0,2.11,29.08,0.02,1.0267677939974007,4.538133600601995,48.25808631787783,2.166480045334515,29.85840744944441,0.020535355879948015,26.31157068202947
19,GP15,3.0,55.080009999999994,-155.72,12503,43370,175,3-175,92.46733041,,9.303295942,174.0,4.0606,69.8,0.001,4.6739999999999995,33.8114,33.8091,80.09,2.89,41.84,0.02,1.0276538816981524,9.56056818738297,82.30479938520503,2.9699197181076604,42.9970384102507,0.020553077633963048,26.84509503394588
20,GP15,3.0,55.080009999999994,-155.72,12501,43370,300,3-300,92.29106101,,9.817251744,299.2,3.8558,24.2,0.001,4.678999999999999,33.9847,33.9871,98.34,3.09,44.62,0.01,1.0283977580965913,10.09603968419945,101.1326355312188,3.1777490725184667,45.8871079662699,0.010283977580965912,27.007609565405346
